CustomerID,CustomerName,CustomerAddress,City,Region,CustomerPhone,CustomerEmail
82c279b2-980e-4b9b-8925-4ca9536de679,Arthur Bernard,"boulevard de Pelletier
91749 Martineau-sur-Labbé",Mathieuboeuf,Région du Nord,+33 4 56 22 02 79,leroyjules@example.org
f562b29c-4571-4bb0-977e-c49d44b55303,Pénélope Tanguy,"30, rue Faivre
45242 Bonneauboeuf",Sainte Julie,Région du Littoral,04 71 59 11 49,martythibault@example.org
8f320f85-1fa1-4c18-aa2c-de2163734697,René Paul,"5, rue Rey
26735 Lamy-sur-Mer",Saint Charles,Région de l'Adamaoua,+33 3 27 24 38 96,laurentblanchet@example.org
5cc1e4fe-8b0f-463e-895f-3e20a1f3deef,Éléonore Renaud,"11, rue Pires
87853 Gauthierboeuf",Leducnec,Région du Nord,+33 (0)4 30 83 37 25,penelope85@example.org
e5f0bfd0-080d-4526-8f3b-506fce303007,Gabriel Bourdon,"762, avenue Lucie Techer
25842 Saint Louisedan",RivièreBourg,Région du Centre,+33 2 46 53 90 09,davidjacob@example.org
441fce5e-384b-460a-9c8f-3ebb2f0c53da,Michel du Denis,"32, rue Julie Delattre
16273 Parisdan",Maillet,Région de l'Est,+33 (0)1 78 70 41 76,audrey53@example.org
d56762ca-d04d-4766-9d76-6f93bf8f1675,Denis de Guérin,"343, avenue Christine Boulay
16050 Lacombe-la-Forêt",Dupuydan,Région du Nord,+33 2 53 43 51 79,margot61@example.com
2c2fc177-644d-4b52-97a8-0ab1cf4df437,Renée Blondel,"85, avenue de Mallet
62748 Techer",Saint Xavier,Région du Nord,04 32 10 41 74,uleger@example.net
a36afaa6-1b91-478e-834c-4dbfb8d6a7d7,Luce Moreno,"758, chemin Fleury
15159 Le Goff",Sainte Marguerite,Région du Centre,0146227647,gerarddos-santos@example.net
403624eb-16c9-4361-83b7-9cee3f57833c,Lucy Millet Le Marty,"95, rue Lucie Blondel
78446 Morvan",Sainte Jeannine,Région de l'Adamaoua,02 45 87 63 05,wmarie@example.org
2c007f54-e69b-4a8b-93e6-684743ecd45b,Agnès Martineau,"23, boulevard Valérie Morvan
24410 Saint Bernadette-les-Bains",Toussaint-sur-Moreau,Région de l'Extrême-Nord,0363288763,qbazin@example.net
9e17dd06-ccff-4c10-aec8-86d9afb02bdc,Aurélie Ribeiro,"85, chemin Philippe Millet
03041 BarreBourg",Charrier-les-Bains,Région du Centre,+33 (0)5 49 00 74 23,de-sousaaimee@example.net
a0305e9e-f48c-474c-aa67-67db9850dc72,Julien-Auguste Lacroix,"555, rue Pelletier
06942 Saint Jacques",Aubry,Région de l'Adamaoua,0156627930,moulinrenee@example.com
87fdd9b3-8254-40d1-8521-707fa615773b,Amélie Marchand-Lesage,"7, chemin de Ledoux
52012 Chevalierdan",Baron,Région de l'Adamaoua,0532883452,sguichard@example.net
64ecdc88-c9a1-4ec3-b21b-8726e3ddeff3,Benoît Pineau,"rue Adrienne Lesage
47175 Neveu-sur-Mer",Sainte Gilles,Région de l'Adamaoua,+33 3 64 13 84 08,frederiquegonzalez@example.com
fbbeb9e7-cf3b-40b6-a660-f5adc24b8a80,Inès Fernandez,"5, rue Lagarde
04717 Morelboeuf",Leroux-sur-Hoareau,Région du Nord-Ouest,+33 2 44 93 86 74,bessonadelaide@example.com
a44e39f3-67d0-4d80-8b3f-4d8b4df518b8,Suzanne Leclerc,"chemin Normand
41045 Sainte JeannineVille",Brun,Région du Nord-Ouest,0383084969,leon44@example.net
824315bc-ef54-4f0b-aa04-114a1a69904c,Manon Chevalier,"avenue Lambert
18833 Briandboeuf",Saint Clémencenec,Région du Littoral,+33 1 58 11 92 78,laure16@example.com
a8f454c7-399a-44b2-87b0-bea3e37e9f62,Clémence Dumas,"chemin de Marty
42070 Sainte Michelle",Rousseau,Région du Nord,+33 2 31 07 37 60,hugueslaroche@example.com
78576f9a-5a38-4303-b4e8-4860262bdbb1,Josette Dupré,"94, avenue Ramos
18222 Brunel",Lecomte,Région du Nord,0177246960,etoussaint@example.net
1e6af49a-f7c6-4c6d-8551-203c7b59ec6f,Juliette Marques,"509, rue Vallet
03576 Raynaudboeuf",Faivre,Région de l'Ouest,0257085603,thibault89@example.org
2a19d8bc-2ac7-4905-91f5-72f227ffff7f,Alphonse Coste,"1, rue Luce Blin
76324 Fontaine",RodriguezVille,Région du Centre,01 40 69 40 04,bernadette76@example.com
4643aa4e-620e-4004-b542-9b09a2e48e31,François Daniel,"99, chemin de Godard
54521 Jean",Bruneau-sur-Vallet,Région du Centre,0463942165,nleconte@example.net
33bc97f3-5ce1-43b7-ba5b-65e0297d07d1,Louise Michaud,"38, rue de Charrier
21399 Sainte Lorrainenec",LebretonVille,Région de l'Adamaoua,0361547240,de-oliveiraclaude@example.net
874e4c99-4491-4222-b346-c39513204676,Sylvie Delorme de Leclercq,"44, boulevard de Allain
81064 Lejeune",Sainte Grégoire-sur-Mer,Région de l'Adamaoua,+33 5 67 77 51 30,louispelletier@example.org
fe6f7577-882f-47c1-af0e-c3d06d7f8e61,Alphonse de Leleu,"98, boulevard Blin
54979 Saint Nicolas-sur-Mer",Chauvin,Région du Littoral,+33 (0)1 41 88 00 07,slemaitre@example.com
16777e85-e51b-498d-8775-897234cb1be3,Margot Le Payet,"59, avenue Poulain
61500 Hamel",Saint Anne,Région du Centre,+33 (0)1 55 21 02 76,jdijoux@example.net
